comm_type,index,total_size,count
0,1,1,512
0,2,3,64
0,3,4,2752
0,4,8,384
0,5,12,64
0,6,20,64
0,7,21,128
0,8,22,320
0,9,23,128
0,10,24,64
0,11,25,64
0,12,26,64
0,13,30,128
0,14,31,64
0,15,37,64
0,16,38,64
0,17,42,64
0,18,47,64
0,19,50,64
0,20,51,64
0,21,53,64
0,22,69,64
0,23,73,64
0,24,74,64
0,25,128,64
0,26,80008,192
1,1,4,1600
1,2,8,4352
1,3,16,128
1,4,24,192
1,5,40,256
1,6,48,256
1,7,72,64
3,1,8,192
7,1,0,320
50,1,4,768
51,1,0,384
51,2,1200,1472
51,3,1600,1472
51,4,2040,1472
51,5,2720,1472
51,6,3464,1472
51,7,3600,1344
51,8,4624,1472
51,9,4800,1344
51,10,6120,1344
51,11,7200,64
51,12,8160,1344
51,13,9600,64
51,14,10392,1344
51,15,12240,64
51,16,13872,1344
51,17,16320,64
51,18,20784,64
51,19,27744,64
55,1,0,384
55,2,1200,1472
55,3,1600,1472
55,4,2040,1472
55,5,2720,1472
55,6,3464,1472
55,7,3600,1344
55,8,4624,1472
55,9,4800,1344
55,10,6120,1344
55,11,7200,64
55,12,8160,1344
55,13,9600,64
55,14,10392,1344
55,15,12240,64
55,16,13872,1344
55,17,16320,64
55,18,20784,64
55,19,27744,64
100,1,0,17664
